Title,Жанры,Страна,Год выпуска,Продолжительность,Режиссер,Качество видео,Формат видео,Субтитры,Тип,Статус,Размер,Скачан
"  / The Lights of Asakusa / Asakusa no hi (  / Yasujiro Shimazu) [1937, , , VHSRip] + Sub Rus + Original Jpn",мелодрама,Япония,1937,1.2797222222222222,,VHSRip,AVI,,обычная,сомнительно,1.17,443 
"  :   / Kishiwada shônen gurentai: Chikemuri junjô-hen / Young Thugs: Innocent Blood (  / Takashi Miike) [1997, , , , DVDRip-AVC] Sub (2x Rus, Eng) + Original (Jpn)",,,,0,,,,r/>,обычная,сомнительно,1.34,657
"  / The Trio's Engagements / Konyaku sanbagarasu (  / Yasujiro Shimazu) [1937, , , DVDRip] + Sub Rus + Original Jpn",комедия,Япония,1937,1.096111111111111,,DVDRip,AVI,,обычная,проверено,1.07,436
,"детектив, триллер, мелодрама, криминал",Корея Южная,2022,2.3105555555555553,,BDRip | ,AVI,русские (forced),обычная,проверено,1.46,6812
"  / The Golden Demon / Konjiki Yasha (  / Hiroshi Shimizu) [1937, , , DVDRip] + Sub Rus + Original Jpn",драма,Япония,1937,1.268611111111111,,DVDRip,AVI,,обычная,сомнительно,0.69228515625,347
"  / Tochuken Kumoemon (  / Mikio Naruse) [1936, , , DVDRip] + Sub Rus + Original Jpn",драма,Япония,1936,1.2127777777777777,,DVDRip,AVI,,обычная,сомнительно,1.02,616
"  / Shindo (  / Heinosuke Gosho) [1936, , , DVDRip-AVC] + Sub Rus",мелодрама,Япония,1936,2.2163888888888885,,DVDRip,MPEG4,,обычная,проверено,1.51,344 
,драма,Япония,1936,1.8602777777777777,,VHSRip,AVI,,обычная,сомнительно,1.47,321
"лощенцы / Cho-gitai ningen / Mimicry Freaks (Шуго Фудзий / Shugo Fujii) [2019, Япония, ужасы, триллер, детектив, WEB-DLRip] AVO (А. Смирнов) / Cho-gitai ningen / Mimicry Freaks (  / Shugo Fujii) [2019, , , , , WEB-DLRip] AVO (. )","ужасы, триллер, детектив",Япония,2019,1.35,,WEB-DLRip,AVI,нет,обычная,проверено,1.09,181
,"драма, фэнтези",Южная Корея,2012,2.098611111111111,Чо Сон-Хи / Jo Sung-hee,HDRip (720p),AVI,нет,обычная,проверено,1.47,10441
" / Deurim / Dream ( - / Lee Byeong-heon) , , , WEB-DLRip-AV","спорт, комедия",Южная Корея,2023,2.118611111111111,,WEB-DLRip-AVC,MKV,"русские, английские (forced, full, SDH), украинские, немецкие, французские",обычная,проверено,2.64,243 
" :  / Ip Man: The Awakening (   ( ) / Li Xi Jie,    ( ) / Zhang Zhu Lin) [2022, , , BDRip] DVO (Pazl Voice) + Original Eng",Боевик,Китай,2022,1.327777777777778,"Ли Си Цзе (Ли Сицзе) / Li Xi Jie, Чжан Чжу Линь (Чжан Чжулинь) / Zhang Zhu Lin",BDRip (исходник: ,AVI,нет,обычная,проверено,1.46,1986
"   / Manatsu no Orion / Last Operations under the Orion ( ) [2009, , , , HDRip-AVC] DVO + Sub Rus + Original Jpn","боевик, военный",Япония,2009,2.001111111111111,Тэцуо Синохара,HDRip-AVC,MKV,"русские, английские",обычная,проверено,2.18,141
"  / Wu ming / Hidden Blade (  / Er Cheng) [2023, , , , , , WEB-DLRip-AV","триллер, драма, история, военный",Китай,2023,2.2025,,WEB-DLRip-AVC,MKV,английские,обычная,проверено,2.6,692 
" / Yi chu hao xi / The Island (  / Bo Huang) [2018, , , , BDRip-AVC] MVO (HDRezka Studio)","комедия, драма",Китай,2018,2.223611111111111,Хуан Бо / Bo Huang,BDRip-AVC / ,MKV,нет,обычная,проверено,1.46,691
"   / The Girl in the Rumor / Uwase no musume (  / Mikio Naruse) [1935, , , DVDRip] Sub Rus",Драма,Япония,1935,0.9155555555555555,Микио Нарусе/Mikio Naruse,DVDRip,MKV,русские,обычная,сомнительно,0.34619140625,271
": -   / Shunkinsho: Okoto to Sasuke (  / Yasujiro Shimazu) [1935, , , DVDRip] + Sub Rus",драма,Япония,1935,1.6716666666666666,,DVDRip,AVI,,обычная,проверено,1.17,407
,"Боевик, Приключение, Драма, История.",Гонконг,1991,2.231666666666667,Харк Цуй / Hark Tsui,,,нет,обычная,проверено,1.46,9799
"  / Burden of Life / Jinsei no onimotsu (  / Heinosuke Gosho) [1935, ,  , DVDRip] (Rus) (Eng) + Sub",ироническая мелодрама,Япония,1935,1.1066666666666667,,DVDRip,AVI,,обычная,сомнительно,1.09,511
" / Huo Yuan Jia / Fearless (  / Ronny Yu) [2006, , , , , , , , BDRip] [  / Theatrical cut] Dub",,,,0,,,,,обычная,проверено,1.46,5167
"  / On the Job (  / Erik Matti) [2013, , , , , , BDRip] AVO ()","Боевик, триллер, драма, криминал",Филиппины,2013,1.9219444444444445,Эрик Матти / Erik Matti,BDRip,AVI,нет,обычная,проверено,1.46,1138
" / Bends / Guo Jie (  / Flora Lau) [2013, , , , DVDRip] Sub rus",драма,,2013,1.5897222222222223,,DVDRip,AVI,"русские, отключаемые, srt",обычная,проверено,1.46,759
" и бумажные шары / Ninjo kami fusen / Humanity and Paper Balloons (Садао Яманака / Sadao Yamanaka) [1937, Япония, драма, комедия, DVDRip] Original + Sub   / Ninjo kami fusen / Humanity and Paper Balloons (  / Sadao Yamanaka) [1937, , , , DVDRip] Original + Sub","драма, комедия",Япония,1937,1.3769444444444443,Садао Яманака,,,,обычная,проверено,1.46,1696
,"военный, биография, боевик, история",Южная Корея,2022,2.161388888888889,Ким Хан-мин / Хан Мин Ким / Han-min Kim,WEB-DLRip,AVI,корейские (hardsub),обычная,проверено,2.18,1830
"  / Noruwei no mori (   / Anh Hung Tran) [2010, , , , HDRip] MVO + Sub rus, eng + Original","рама, мелодрама",,,2.2175000000000002,,: ,AVI,,обычная,проверено,2.19,5861
,Драма,Япония,1987,1.7941666666666667,Сейдзиро Кояма / Seijiro Koyama,,,"русские, английские - ",обычная,проверено,1.46,39703 
"  / Yoru no onnatachi (  / Kenji Mizoguchi) [1948, , , DVDRip] DVO + AVO (. ) + Sub Eng + Original Jpn",Драма,Япония,1948,1.2338888888888888,Кэндзи Мидзогути / Kenji Mizoguchi,DVDRip,AVI,английские,обычная,проверено,1.38,158
,"фантастика, боевик",Южная Корея,2023,1.6625,,WEB-DLRip-AVC,MKV,"английские (forced, full, SDH), русские, украинские",обычная,проверено,2.32,3467
,драма,Япония,2009,2.1680555555555556,Тоя Сато / Tôya Satô,,,,обычная,проверено,1.36,3819
,"комедия, боевик",Китай,2023,2.093888888888889,,WEB-DLRip,AVI,Russian (Full),обычная,проверено,2.18,6280
"  / Mirrored mind / Kyoshin ( """"  / Gakuryu ""Sogo"" Ishii) [2005, , , DVDRip-AVC] Original Jpn + Sub Rus, Eng",драма,Япония,2005,1.021388888888889,Гакурю (Сого) Исии / Gakuryu (Sogo) Ishii,DVDRip-AVC,MKV,русские ,обычная,сомнительно,1.02,829
,боевые исскуства,Тайвань,1984,1.4125,Роберт Таи,,,,обычная,проверено,0.79375,2571
,Боевые Искусства,Гонконг,1983,1.428611111111111,Пай Чен / Pai Cheh,,,,обычная,сомнительно,1.36,4501
"    /   / Ninja Vs Shaolin Guards / Wu seng (  / William Chun,    / Kim Dong Joon) [1984, ,  , DVDRip] VO (Shaman)",,,,0,,,,,обычная,проверено,1.36,1392 
" / Gaau ji / Dumplings (  / Fruit Chan) [2004, , , , , DVDRip] DVO + Sub rus","ужасы, триллер, драма",Гонконг,2004,1.518611111111111,,,AVI,русские,обычная,проверено,1.46,3486
" / Gaau ji / Dumplings (  / Fruit Chan) [2004, , , , , DVDRip] DVO + Sub rus","ужасы, триллер, драма",Гонконг,2004,1.518611111111111,,,AVI,русские,обычная,проверено,1.46,3486
"   / My Lucky Stars / Fuk sing go jiu (  - / Sammo Hung Kam-Bo) [1985, , , , , BDRip] AVO ( )",,,,0,,,,,обычная,проверено,1.45,1786
",    / Akinjeon / The Gangster, the Cop, the Devil ( - / Lee Won-tae) [2019,  , , , , BDRip] Dub (iTunes)","боевик, криминал, триллер",Южная Корея,2019,1.8316666666666668,,BDRip | ,AVI,русские (forced),обычная,проверено,1.46,2699
,"комедия, дзидайгеки",Япония,1935,1.528888888888889,Садао Яманака,,,,обычная,проверено,1.46,1553 
,мелодрама,Япония,1934,1.2772222222222223,,DVDRip,AVI,,обычная,проверено,1.05,643 
,"комедия, дзидайгеки",Япония,1935,1.528888888888889,Садао Яманака,,,,обычная,проверено,1.46,1553 
"  - / Our Neighbor Miss Yae / Tonari no Yae-chan (  / Yasujiro Shimazu) [1934, , , DVDRip] + Sub Rus + Original Jpn",мелодрама,Япония,1934,1.2772222222222223,,DVDRip,AVI,,обычная,проверено,1.05,643 
"  : ,   цветы любви / The Izu Dancer / Koi no hana saku Izu no odoriko (Хэйноскэ Госё / Heinosuke Gosho) [1933, Япония, мелодрама, немой, DVDRip] Sub eng rus  / The Izu Dancer / Koi no hana saku Izu no odoriko (  / Heinosuke Gosho) [1933, , , , DVDRip] Sub eng rus",мелодрама,Япония,1933,1.5447222222222223,,DVDRip,AVI,,обычная,сомнительно,1.36,1132 
,"мелодрама, комедия, немой",Япония,1933,1.4136111111111112,,DVDRip,AVI,,обычная,проверено,1.48,166
"  / No Blood Relation / Nasanunaka (Mikio Naruse / Микио Нарусэ) [1932, Япония, мелодрама, немой, DVDRip] + Sub Rus ) [1932, , , , DVDRip] + Sub Rus","мелодрама, немой",Япония,1932,1.5769444444444443,,DVDRip,AVI,,обычная,проверено,1.19,192 
,"триллер, драма, комедия",Корея Южная,2019,2.2,Пон Джун-хо / Bong Joon-ho,BDRip | ,AVI,"русские (Forced, Focs, kornickolay), английские",обычная,проверено,2.91,13644 
"  / Seven Seas / Nanatsu no umi (  / Hiroshi Shimizu) [1931 / 1932, , , , DVDRip] + Sub Rus",драма,Япония,1931,1.0030555555555556,,DVDRip,AVI,,обычная,проверено,1.33,180
"   / Madamu to nyobo / The Neighbor's Wife and Mine (  / Heinosuke Gosho) [1931, , , ,","комедия, музыкальный",Япония,1931,0.9427777777777778,Хэйноскэ Госё / Heinosuke Gosho,VHSRip,AVI,нет,обычная,сомнительно,0.726171875,850
" , ! / Koshiben ganbare / Flunky, Work Hard (  / Mikio Naruse) [1931, , , ,  , DVDRip] Score + Sub Rus (adalgama), Jpn ()","комедия, мелодрама, немое кино",Япония,1931,0.4772222222222222,,DVDRip,AVI,русские,обычная,проверено,0.56279296875,280
,"приключения, комедия, боевик","Гонконг, Югославия",,1.633888888888889,,BDRip,,нет,обычная,проверено,1.73,6164 
"   / Shingun (  / Kiyohiko Ushihara) [1930, , , , DVDRip-AVC] + Sub Rus","драма, военный",Япония,1930,1.9783333333333333,Кёхико Усихара / Kiyohiko Ushihara,DVDRip-AVC,MKV,русские,обычная,проверено,1.63,164 
,драма,Япония,1930,1.3080555555555555,,DVDRip,AVI,,обычная,проверено,1.19,264 
"  / Sakamoto Ryoma (  / Yoshiro Edamasa) [1928, , , VHSRip] Sub rus",Драма,"Япония, Matsuda Film Library.",1928,0.5241666666666667,,VHSRip,AVI,русские,обычная,проверено,0.3521484375,445
"    / Racing track at Sozenji temple / Sozenji baba (  / Makino Masahiro) [1928, ,  , ,  , DVDRip] Sub Rus","самурайский боевик, драма, немое кино",Япония,1928,0.5261111111111111,Макино Масахиро / Makino Masahiro,DVDRip,AVI,,обычная,проверено,0.34228515625,571
,"дзидай-гэки, историческая драма",Япония,1928,1.0597222222222222,,DVDRip,AVI,"английские, русские (",обычная,проверено,0.68466796875,1819
,"самурайский боевик, комедия, немое кино",Япония,1928,0.6444444444444444,Теппей Ямагучи / Teppei Yamaguchi,,,,обычная,проверено,0.46376953125,876
"   /  сталь / Ji qi zhi xue / Bleeding Steel (Чжан Лицзя / Zhang Lijia) [2017, Китай, Гонконг, фантастика, боевик, триллер, BDRip-AVC] Dub / Ji qi zhi xue / Bleeding Steel (  / Zhang Lijia) [2017, , , , , , BDRip-AVC] Dub","фантастика, боевик, триллер","Китай, Гонконг",2017,1.8352777777777776,Чжан Лицзя / Zhang Lijia,BDRip-AVC / ,MKV,нет,обычная,проверено,0.72763671875,5087
"  .    : ""е Ясуда"" и ""Битва Тоба и Фусими"" / Yajikita. Son'no no maki (Yasuda's Rescue). Toba Fushimi no maki (Battle of Toba Fushimi) (Томиясу Икеда / Tomiyasu Ikeda) [1927, Япония, Комедия, D ""  ""   "" / Yajikita. Son'no no maki (Yasuda's Rescue). Toba Fushimi no maki (Battle of Toba Fushimi) (  / Tomiyasu Ikeda) [1927, , , D",Комедия,Япония,1927,0,Томиясу Икеда / Tomiyasu Ikeda,,,,обычная,проверено,0.22509765625,533 
,,,,0,,,,,обычная,проверено,1.36,953 
,,,1983,2.388611111111111,,,,,обычная,проверено,1.67,6765
,,,,0,,,,,обычная,проверено,1.37,6079
,ужасы,Южная Корея,2016,1.968888888888889,Ён Сан-хо / Yeon Sang-ho,HDRip-AVC (спасибо ,MKV,"русские (форсированные, полные), английские",обычная,проверено,2.07,2530
,"Триллер, Криминал, Драма",Япония,1976,2.5244444444444443,Дзюнья Сато / Junya Sato,DVDRip,MKV,нет,обычная,проверено,2.17,1654 
"  / New World / Sin-se-ga (   / Park Hoon Jung) [2013,  , , HDRip] DVO (den904, DeadSno) Sub 2xRus",триллер,Южная Корея,2013,2.254166666666667,Пак Хун Джон / Park Hoon Jung,HDRip,AVI,русские (отдельным файлом),обычная,проверено,2.9,2893 
,Боевые искусства,Япония,1979,1.3141666666666665,Шигехиро Озава,,,,обычная,проверено,0.68623046875,3161
"   / Return of the Street Fighter ( ) ( ) [1974, ,  , DVDRip]",Боевые искусства,Япония,1974,1.3744444444444446,Шигехиро Озава,,,,обычная,проверено,0.68583984375,2643 
"  / Dragon Blade / Tian jiang xiong shi (  / Daniel Lee) [2015, , , , ,","боевик, драма, приключения",Китай,2015,1.7280555555555557,Дэниэл Ли / Daniel Lee,HDRip,AVI,нет,обычная,проверено,1.46,4174 
"  / The Beauty Inside (   / Baek Jong Yeol) [2015,  , , , , HDRip-AVC] DVO + Original Kor + Sub Rus","драма, романтика, комедия",Южная Корея,2015,2.1169444444444445,Пэк Чжон Ыль / Baek Jong Yeol,HDRip-AVC - ,mkv,русские - ,обычная,проверено,2.18,6103 
,"фантастика, боевик, приключения","Япония, США",1969,1.7591666666666665,,,AVI,нет,обычная,проверено,1.46,1576
"  2 / Battle Royale II: Requiem / Batoru rowaiaru II: Chinkonka (  / Kenta Fukasaku,   / Kinji Fukasaku) [2003, , , , , HDRip-AVC] [Theatrical (Japan) Version] AVO ( ) + DVO (DDV)","боевик, триллер, драма",Япония,2003,2.216666666666667,"Кэнта Фукасаку / Kenta Fukasaku, Киндзи Фукасаку / Kinji Fukasaku",HDRip-AVC,MKV,нет,обычная,проверено,1.71,649
,"фэнтези, триллер, драма, криминал, детектив",Япония,2006,2.344444444444444,Шусуке Канеко / Shusuke Kaneko,HDRip,AVI,"русские, английские ",обычная,проверено,2.84,7025
"   / Champion of Death / Karate Bullfighter (  /Kazuhiko Yamaguchi) [1975, , , TVRip]",Боевик,Япония,1975,1.2575,Ямагути Кадзухико /Kazuhiko Yamaguchi,,,,обычная,проверено,0.67646484375,979
" / Broker / Beurokeo / 브로커 (  / Hirokazu Koreeda) [2022,  , , BDRip-AVC] AVO () + Original (Kor) + Sub (Rus, Eng)",драма,Южная Корея,2022,2.158333333333333,Хирокадзу Корээда / Hirokazu Koreeda,,,"русские, английские",обычная,проверено,3.56,921
,"Комедия, романтика",Южная Корея,2004,1.8069444444444445,Ин-му Хэ / In-mu Heo,DVDRip,AVI,русские ,обычная,проверено,1.47,1358
,Боевые искусства,Япония,1974,1.5111111111111113,Шигехиро Озава,,,,обычная,проверено,0.67841796875,3465
,"драма, триллер",Южная Корея,2012,1.818888888888889,Пак Чону / Park Jeong-woo,HDRip ,AVI,нет,обычная,проверено,1.37,4719
"    / Nihonkai daikaisen / Battle in the Sea of Japan (  / Seiji Maruyama) [1969, , , , , WEB-DLRip] AVO ( )",,,,0,,,AVI,нет,обычная,проверено,1.44,1774 
"   / The Temple of the Wild Geese / Gan no tera (  / Yuzo Kawashima) [1962, , , DVDRip] Sub Rus Eng",драма,Япония,1962,1.6341666666666665,,DVDRip,AVI,,обычная,проверено,1.31,895
"   /    / Shaolin Wooden Men / Shao Lin mu ren xiang (-  / Chi-Hwa Chen) [1976, , , , BDRip-AVC] MVO (, ) + Original Chi + Sub (Rus, Eng)",боевик,"Тайвань, Гонконг",1976,1.7855555555555556,Чи-Хва Чен / Chi-Hwa Chen,,,"русские, английские",обычная,проверено,3.99,1007
"   /  / Weokinggul / Working Girl (   / Bum-Sik Jung) [2015,  , , , WEB-DLRip] MVO (den904, DeadSno, Izanami)","Мелодрама, Комедия.",Южная Корея.,2015,1.8619444444444444,Чжон Бом Сик / Bum-Sik Jung,WEB-DLRip,AVI,нет,обычная,проверено,1.37,1721
" :    / -  / Gong Fu Yu Jia / Kung-Fu Yoga (  / Stanley Tong) [2017, , , , , , ,ый видеоряд] Dub + Ukr + Sub Rus + Original Zho, Eng ] Dub + Ukr + Sub Rus + Original Zho, Eng","боевик, комедия, детектив, приключения","Индия, Китай",2017,1.7122222222222223,Стэнли Тонг / Stanley Tong,WEB-DLRip,AVI,русские,обычная,проверено,1.46,2421
"     3:    / No Retreat, No Surrender 3: Blood Brothers (  / Lucas Lowe) [1990, , , DVDRip-AVC] DVO (г Арт) )",боевик,Гонконг,1990,1.6372222222222221,Лукас Лоу / Lucas Lowe,,,нет,обычная,проверено,1.46,942 
" / Shutter (  / Banjong Pisanthanakun, Паркпум Вонгпум / Parkpoom Wongpoom) [2004, Таиланд, ужасы, триллер, детектив, WEB-DLRip] AVO [С. Кузнецов]  / Parkpoom Wongpoom) [2004, , , , , WEB-DLRip] AVO [. ]","ужасы, триллер, детектив",Таиланд,2004,1.6052777777777778,"Баньенг Писензенекун / Banjong Pisanthanakun, Паркпум Вонгпум / Parkpoom Wongpoom",WEB-DLRip,AVI,нет,обычная,проверено,1.39,3410
" /   / Samurai Rebellion / Joi Uchi: Hairyo Tsuma Shimatsu (  / Masaki Kobayashi) [1967, ,  , DVDRip] MVO + Original + Sub",Самурайская драма,Япония,1967,0,Масаки Кобаяси / Masaki Kobayashi,,,,обычная,проверено,1.53,1624 
"  III / Условия человеческого существования III / Ningen no joken III / The Human Condition III (Масаки Кобаяси / Masaki Kobayashi) [1961, Япония, драма, военный, исторический, BDRip] AVO (Кузнецов) о существования III / Ningen no joken III / The Human Condition III (Масаки Кобаяси / Masaki Kobayashi) [1961, Япония, драма, военный, исторический, BDRip] AVO (Кузнецов) я III / Ningen no joken III / The Human Condition III (Масаки Кобаяси / Masaki Kobayashi) [1961, Япония, драма, военный, исторический, BDRip] AVO (Кузнецов) III / Ningen no joken III / The Human Condition III (  / Masaki Kobayashi) [1961, , , , , BDRip] AVO (Кузнецов))","драма, военный, исторический",Япония,1961,3.1702777777777778,,,AVI,нет,обычная,проверено,2.19,607
"  II / Условия человеческого существования II / Ningen no joken II / The Human Condition II (Масаки Кобаяси / Masaki Kobayashi) [1959, Япония, драма, военный, исторический, BDRip] AVO (Кузнецов) о существования II / Ningen no joken II / The Human Condition II (Масаки Кобаяси / Masaki Kobayashi) [1959, Япония, драма, военный, исторический, BDRip] AVO (Кузнецов) я II / Ningen no joken II / The Human Condition II (Масаки Кобаяси / Masaki Kobayashi) [1959, Япония, драма, военный, исторический, BDRip] AVO (Кузнецов) II / Ningen no joken II / The Human Condition II (  / Masaki Kobayashi) [1959, , , , , BDRip] AVO (Кузнецов))","драма, военный, исторический",Япония,1959,2.9650000000000003,,,AVI,нет,обычная,проверено,1.46,499
,"Боевик, Фантастика",Япония,2000,2.0075,Рюхэй Китамура / Ryuhei Kitamura,HDRip / ,AVI,нет,обычная,проверено,1.45,3314
"   / Forbidden City Cop ( -,  ) [1996, , , комедия, боевик, DVDRip], , DVDRip]","исторический, комедия, боевик",Гонконг,1996,0,"Ли Лик-Чи, Стивен Чоу",,,,обычная,проверено,1.37,1812
,"драма, военный, исторический",Япония,1959,3.3561111111111113,,,AVI,нет,обычная,проверено,2.18,809
"  /    / Kaidan nobori ryu / The Blind Woman's Curse / Black Cat's Revenge (  / Teruo Ishii) [1970, , , , pinky horror, DVDRip] Sub Rus (girl-in-red","драма, триллер, ужасы",Япония,1970,1.4155555555555557,Тэруо Исий / Teruo Ishii,DVDRip,AVI,русские (girl-in-red),обычная,проверено,1.46,1206
"  / Jackie Chan,   / Li Zhang) [2011, , , , , ,, , HDRip-AVC] VO + DVO + Sub Eng","боевик, драма, приключения, военный, история","Гонконг, Китай",2011,2.0169444444444444,"Джеки Чан / Jackie Chan , Чжан Ли / Li Zhang",HDRip-AVC / ,MKV,английские,обычная,проверено,3.38,817
,"драма, военный, исторический","Гонконг, Китай",2011,2.008611111111111,,BDRip-AVC | ,MKV,английские,обычная,проверено,3.73,2237
"  / Killer's Romance / Long man sha shou tze yo ren (  / Phillip Ko) [1990, , ия, боевик, DVDRip] AVO (Александр Кашкин), , DVDRip] AVO ( )",боевик,"Гонконг, Великобритания",1990,1.5616666666666668,Филлип Ко / Phillip Ko,DVDRip,AVI,нет,обычная,проверено,1.32,369
,боевые искусства,Гонконг,1990,1.5119444444444445,Кларенс Фок Ииу-Леунг/Clarence Fok Yiu-leung,,,нет,обычная,проверено,0.68388671875,1916
,,,,0,,,MKV,ет,обычная,проверено,2.18,4363 
,"боевик, драма, приключения",Япония,1970,1.9347222222222222,Кихати Окамото / Kihachi Okamoto,HDRip,AVI,нет,обычная,проверено,1.46,1124 
"    / City of Life and Death / Nanjing! Nanjing! (  / Chuan Lu) [2009, , , , , , BDRip-AVC] MVO + Original + Sub (rus , eng)","драма, военный, история","Гонконг, Китай",2009,2.2536111111111112,Чуан Лу / Chuan Lu,,,,обычная,проверено,3.45,2664 
" 2 / The Raid 2: Berandal (  / Gareth Evans) [2014, , , , , , BDRip-AVC] Dub + Original Ind+ Sub (Rus, Eng)","боевик, триллер, криминал","Индонезия, США",2014,2.5077777777777777,Гарет Эванс / Gareth Evans,BDRip-AVC (,MKV,"русские, английские",обычная,проверено,2.19,13816
,"драма, детектив",Филиппины,1975,2.106111111111111,,HDRip [,AVI,русские (,обычная,проверено,2.19,2057
" / The Raid: Redemption / Serbuan maut (  / Gareth Evans) [2011, , , , , , BDRip-AVC] [US Transfer] Dub + AVO () + Original + Sub (rus, eng)","боевик, триллер, криминал","Индонезия, США",2011,1.6844444444444444,Гарет Эванс / Gareth Evans,BDRip-AVC (Рейд / The Raid: Redemption / Serbuan maut (2011) 1080p BD-Remux HDClub),MKV,"русские, английские",обычная,проверено,2.5,13640
,"драма, триллер",Япония,2023,1.6636111111111112,Кадзуёси Кумакири / Kazuyoshi Kumakiri,WEB-DLRip,AVI,русские (forced),обычная,проверено,1.46,601
"  / Fist Of Fury / Jing wu men (  / Wei Lo) [1972, , , , , , HDRip] 2x MVO","Боевик, триллер, драма, мелодрама",Гонконг,1972,1.7805555555555554,,,,нет,обычная,проверено,0.822265625,4471
"     3 -    /   3 / No Retreat, No Surrender 3 - Blood Brothers / Karate Tiger 3 (  / Lucas Lowe) [1990, , , DVDRip] AVO ()",боевик,Гонконг,1990,1.6372222222222221,Лукас Лоу / Lucas Lowe,,,,обычная,проверено,0.73056640625,1547
,"приключения, семейный, фэнтези, ужасы",Япония,2008,1.9905555555555556,Кацухидэ Мотоки / Motoki Katsuhide,,,,обычная,проверено,1.36,2718
,Фэнтэзи,Япония,2007,0,Мотоки / Katsuhide Motoki,,,,обычная,проверено,1.37,2127
,,,,0,,,,,обычная,проверено,1.46,1928
,"Драма, боевые искусства",Гонконг,1972,1.4416666666666667,Юэнь Чор / Yuen Chor,DVDRip,AVI,нет,обычная,проверено,1.37,1159
,"Боевик, криминал, триллер",Южная Корея,2017,2.018611111111111,Кан Юн-сон / Kang Yoon-seong,HDRip,AVI,"русские, английские",обычная,проверено,1.84,5784 
"     /    / Lust from Love of a Chinese Courtesan / Ai nu xin zhuan (  / Yuen Chor (as Chu Yuan)) [1984, , , DVDRip] VO (. ) + Original Zho",Драма,Гонконг,1984,1.4691666666666667,Чо Юэнь / Yuen Chor (as Chu Yuan),DVDRip,AVI,нет,обычная,проверено,1.46,380
" :    /  :   / Detective K: Secret of the Lost Island / Joseon myungtamjung - / Kim Seok-yoon) [2015,  , , , , HDRip] DVO",,,,0,,,,,обычная,проверено,1.45,2606
,,,,0,,,,,обычная,проверено,1.36,2714
"  / The Hell Fated Courtesan / Prostitute Torture Hell / Maruhi: jorô seme jigoku (  / Noboru Tanaka) [1973, , , pinku eiga, DVDRip] VO + Sub Rus","Драма, pinku eiga",Япония,1973,1.2816666666666667,Нобору Танака / Noboru Tanaka,DVDRip,AVI,"Русские, Английские",обычная,проверено,0.722265625,526
,"фантастика, комедия, мелодрама",Китай,2022,2.0294444444444446,,WEB-DLRip-AVC,MKV,"русские, английские (full, hardsub), китайские (hardsub)",обычная,проверено,2.15,390
,"драма, экранизация",Япония,1967,1.6505555555555556,Корэёси Курахара / Koreyoshi Kurahara,DVDRip,WebM,,обычная,сомнительно,1.39,999
